"COL0","COL1"
"59151059",20544.00
"59151061",24896.00
"59151062",25728.00
"59151063",22496.00
"59151064",24960.00
"59151065",22848.00
"59151066",27904.00
"59151067",30496.00
"59151068",25312.00
"59151072",31168.00
"59151073",33280.00
"59151074",30912.00
"59151075",40832.00
"59151076",28544.00
"59151077",26176.00
"59151078",28992.00
"59151079",23040.00
"59151080",30944.00
"59151081",30848.00
"59151082",22272.00
"59151083",22080.00
"59151084",27456.00
"59151085",30400.00
"59151086",28608.00
"59151087",30784.00
"59151088",27968.00
"59151089",30816.00
"59151090",33344.00
"59151091",35328.00
"59151092",32832.00
"59151093",39040.00
"59151094",49408.00
"59151095",38432.00
"59151097",44096.00
"59151098",38144.00
"59151099",38144.00
"59151100",24800.00
"59151101",30272.00
"59151102",32800.00
"59151103",33237.00
"59151104",33152.00
"59151105",36352.00
"59151106",40448.00
"59151107",33109.00
"59151108",38656.00
"59151112",32288.00
"59151113",39211.00
"59151116",41856.00
"59151117",44160.00
"59151118",48085.00
"59151121",41728.00
"59151122",32533.00
"59151123",25472.00
"59151124",32704.00
"59151125",19072.00
"59151126",16928.00
"59151127",19947.00
"59151128",19648.00
"59151129",22635.00
"59151130",22976.00
"59151131",20416.00
"59151132",22336.00
"59151133",18272.00
"59151134",21227.00
"59151135",22976.00
"59151136",18603.00
"59151137",21824.00
"59151138",19520.00
"59151139",18432.00
"59151141",21611.00
"59151142",21824.00
"59151143",20117.00
"59151145",27072.00
"59151146",25760.00
"59151147",22059.00
"59151148",28752.00
"59151149",24432.00
"59151150",26347.00
"59151151",21504.00
"59151152",24256.00
"59151153",26368.00
"59151154",28352.00
"59151155",35136.00
"59151156",24939.00
"59151157",23979.00
"59151158",22720.00
"59151159",27328.00
"59151160",24896.00
"59151161",30592.00
"59151162",30048.00
"59151163",28768.00
"59151164",32288.00
"59151165",33344.00
"59151166",34432.00
"59151167",30144.00
"59151168",25920.00
"59151169",30560.00
"59151170",24832.00
"59151171",25728.00
"59151172",28480.00
"59151173",36122.00
"59151174",25190.00
"59151175",28640.00
"59151176",
"59151177",26368.00
"59151178",25792.00
"59151179",24832.00
"59151180",33152.00
"59151182",27840.00
"59151195",25536.00
"59151196",25376.00
"59151197",31904.00
"59151198",23104.00
"59151199",26688.00
"59151200",27520.00
"59151201",25920.00
"59151202",23531.00
"59151203",27072.00
"59151204",22208.00
"59151205",24768.00
"59151206",23360.00
"59151207",22426.00
"59151208",23488.00
"59151209",26432.00
"59151211",33707.00
"59151213",33024.00
"59151214",26112.00
"59151215",31595.00
"59151216",48256.00
"59151217",43008.00
"59151219",31936.00
"59151220",31040.00
"59151221",21200.00
"59151222",23680.00
"59151223",27776.00
"59151224",28736.00
"59151225",22976.00
"59151226",22944.00
"59151227",25408.00
"59151228",29205.00
"59151229",28954.00
"59151230",30528.00
"59151231",44416.00
"59151232",39424.00
"59151234",30272.00
"59151236",29781.00
"59151237",39296.00
"59151238",36224.00
"59151239",31552.00
"59151240",34752.00
"59151241",29333.00
"59151242",36245.00
"59151243",33835.00
"59151244",28864.00
"59151252",32277.00
"59151253",33459.00
"59151254",30304.00
"59151255",30176.00
"59151256",22933.00
"59151257",28352.00
"59151258",33088.00
"59151259",18944.00
"59151260",27883.00
"59151261",22208.00
"59151262",24896.00
"59151263",23488.00
"59151264",28672.00
"59151265",30656.00
"59151266",29909.00
"59151267",29696.00
"59151268",28715.00
"59151269",27968.00
"59151270",25536.00
"59151271",25952.00
"59151272",17504.00
"59151273",25280.00
"59151274",24704.00
"59151275",34304.00
"59151276",30624.00
"59151277",29760.00
"59151278",25344.00
"59151279",26144.00
"59151280",27200.00
"59151281",23808.00
"59151282",26400.00
"59151283",26880.00
"59151284",33408.00
"59151286",23168.00
"59151288",23488.00
"59151289",20432.00
"59151290",27360.00
"59151291",24032.00
"59151292",19712.00
"59151293",25408.00
"59151294",34304.00
