PM25DAL12_PC,PM25DAL12_01,POSTALCODE_12,PROV_12
V0K1C1,6.5,V0K1C1,BC
V0K1E0,7.6,V0K1E0,BC
V0K1G0,7.8,V0K1G0,BC
V0K1H0,7.8,V0K1H0,BC
V0K1H1,8.2,V0K1H1,BC
V0K1J0,8.3,V0K1J0,BC
V0K1K0,9.3,V0K1K0,BC
V0K1L0,7.7,V0K1L0,BC
V0K1M0,7.7,V0K1M0,BC
V0K1N0,4.2,V0K1N0,BC
V0K1P0,3.9,V0K1P0,BC
V0K1S0,NULL,V0K1S0,BC
V0K1S1,NULL,V0K1S1,BC
V0K1T0,6,V0K1T0,BC
V0K1T1,4.8,V0K1T1,BC
V0K1V0,6.7,V0K1V0,BC
V0K1W0,5.8,V0K1W0,BC
V0K1X0,7.7,V0K1X0,BC
V0K1X1,8.7,V0K1X1,BC
V0K1X2,7.4,V0K1X2,BC
V0K1X3,7.6,V0K1X3,BC
V0K1Y0,5.7,V0K1Y0,BC
V0K1Z0,6,V0K1Z0,BC
V0K2E0,6.7,V0K2E0,BC
V0K2E1,7.2,V0K2E1,BC
V0K2E2,6.7,V0K2E2,BC
V0K2E3,7.6,V0K2E3,BC
V0K2G0,NULL,V0K2G0,BC
V0K2H0,6.7,V0K2H0,BC
V0K2J0,7.3,V0K2J0,BC
V0K2K0,7.3,V0K2K0,BC
V0K2K1,8.3,V0K2K1,BC
V0K2K2,8.1,V0K2K2,BC
V0K2L0,8.9,V0K2L0,BC
V0K2P0,7.8,V0K2P0,BC
V0K2R0,NULL,V0K2R0,BC
V0K2S0,5.8,V0K2S0,BC
V0K2S1,6.2,V0K2S1,BC
V0K2Z0,6.9,V0K2Z0,BC
V0L1A0,NULL,V0L1A0,BC
V0L1B0,3.3,V0L1B0,BC
V0L1C0,NULL,V0L1C0,BC
V0L1G0,4.4,V0L1G0,BC
V0L1H0,NULL,V0L1H0,BC
V0L1J0,6.5,V0L1J0,BC
V0L1K0,NULL,V0L1K0,BC
V0L1L0,3.5,V0L1L0,BC
V0L1M0,NULL,V0L1M0,BC
V0L1N0,3.1,V0L1N0,BC
V0L1P0,NULL,V0L1P0,BC
V0L1R0,NULL,V0L1R0,BC
V0L1S0,NULL,V0L1S0,BC
V0L1T0,NULL,V0L1T0,BC
V0L1V0,NULL,V0L1V0,BC
V0L1W0,NULL,V0L1W0,BC
V0L1X0,NULL,V0L1X0,BC
V0M1A0,5.5,V0M1A0,BC
V0M1A1,6.1,V0M1A1,BC
V0M1A2,5.5,V0M1A2,BC
V0M1A3,6.1,V0M1A3,BC
V0M1A4,6.1,V0M1A4,BC
V0M1G0,4.6,V0M1G0,BC
V0M1H0,5.2,V0M1H0,BC
V0M1K0,6.2,V0M1K0,BC
V0M1L0,4.7,V0M1L0,BC
V0M1N0,4.6,V0M1N0,BC
V0N0A0,1.9,V0N0A0,BC
V0N1A0,NULL,V0N1A0,BC
V0N1B0,2.8,V0N1B0,BC
V0N1B1,4,V0N1B1,BC
V0N1B2,2.3,V0N1B2,BC
V0N1B3,2,V0N1B3,BC
V0N1B4,2.2,V0N1B4,BC
V0N1B6,1.9,V0N1B6,BC
V0N1B7,1.9,V0N1B7,BC
V0N1B8,2,V0N1B8,BC
V0N1B9,2.8,V0N1B9,BC
V0N1E0,NULL,V0N1E0,BC
V0N1G0,3.5,V0N1G0,BC
V0N1G1,2.9,V0N1G1,BC
V0N1G2,2.4,V0N1G2,BC
V0N1H0,4.3,V0N1H0,BC
V0N1J0,2.7,V0N1J0,BC
V0N1K0,NULL,V0N1K0,BC
V0N1L0,2.5,V0N1L0,BC
V0N1M0,NULL,V0N1M0,BC
V0N1N0,NULL,V0N1N0,BC
V0N1P0,3.6,V0N1P0,BC
V0N1S0,NULL,V0N1S0,BC
V0N1S1,NULL,V0N1S1,BC
V0N1T0,3.5,V0N1T0,BC
V0N1V0,2.5,V0N1V0,BC
V0N1V1,1.6,V0N1V1,BC
V0N1V2,2.9,V0N1V2,BC
V0N1V3,2.2,V0N1V3,BC
V0N1V4,2.7,V0N1V4,BC
V0N1V5,2.3,V0N1V5,BC
V0N1V6,1.8,V0N1V6,BC
V0N1V7,2.5,V0N1V7,BC
V0N1V8,1.6,V0N1V8,BC
V0N1V9,1.6,V0N1V9,BC
V0N1W0,NULL,V0N1W0,BC
V0N1Y0,NULL,V0N1Y0,BC
V0N1Y1,NULL,V0N1Y1,BC
V0N1Y2,NULL,V0N1Y2,BC
V0N1Z0,NULL,V0N1Z0,BC
V0N2B0,NULL,V0N2B0,BC
V0N2E0,3.5,V0N2E0,BC
V0N2G0,NULL,V0N2G0,BC
V0N2H0,NULL,V0N2H0,BC
V0N2H1,NULL,V0N2H1,BC
V0N2H4,NULL,V0N2H4,BC
V0N2J0,3,V0N2J0,BC
V0N2J1,2.3,V0N2J1,BC
V0N2J2,3,V0N2J2,BC
V0N2K0,4.2,V0N2K0,BC
V0N2L0,4.7,V0N2L0,BC
V0N2L1,4.6,V0N2L1,BC
V0N2L2,4.7,V0N2L2,BC
V0N2L3,3.2,V0N2L3,BC
V0N2M0,2.7,V0N2M0,BC
V0N2M1,3.1,V0N2M1,BC
V0N2M2,3.1,V0N2M2,BC
V0N2M3,1.5,V0N2M3,BC
V0N2N0,NULL,V0N2N0,BC
V0N2P0,NULL,V0N2P0,BC
V0N2R0,NULL,V0N2R0,BC
V0N2S0,3.2,V0N2S0,BC
V0N2V0,NULL,V0N2V0,BC
V0N2W0,2.9,V0N2W0,BC
V0N2W1,3,V0N2W1,BC
V0N2W2,2.9,V0N2W2,BC
